dataset,algorithm,method,f1_weighted,f1_intentional,accuracy,precision,recall,auc,runtime,n_labeled,n_test,pct_labeled,n_clusters,noise_count,silhouette,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
twitter,dbscan,LabelPropagation,0.9271,0.8815,0.9282,0.9329,0.8354,0.9036,0.02,110,989,10.01,22.0,79,0.4843,1.7873,5.0,,,,,,
twitter,dbscan,LabelSpreading,0.8796,0.8,0.8827,0.8788,0.7342,0.8433,0.02,110,989,10.01,22.0,79,0.4843,1.7873,5.0,,,,,,
twitter,hierarchical_ward,RandomForest,0.9484,0.9148,0.9495,0.9859,0.8532,0.9238,0.03,70,1029,6.37,15.0,0,0.404,,,ward,,,,,
twitter,hierarchical_ward,ClusterMajorityVote,0.8858,0.8112,0.8882,0.8759,0.7554,0.8527,0.03,70,1029,6.37,15.0,0,0.404,,,ward,,,,,
twitter,hierarchical_ward,KNN_k7,0.9256,0.8805,0.9261,0.9061,0.8563,0.9075,0.03,70,1029,6.37,15.0,0,0.404,,,ward,,,,,
twitter,hierarchical_ward,LabelPropagation,0.9122,0.8533,0.9145,0.9377,0.7829,0.8793,0.03,70,1029,6.37,15.0,0,0.404,,,ward,,,,,
twitter,hierarchical_ward,LabelSpreading,0.8875,0.8095,0.8912,0.9119,0.7278,0.8475,0.03,70,1029,6.37,15.0,0,0.404,,,ward,,,,,
twitter,hierarchical_average,RandomForest,0.8004,0.728,0.7934,0.6195,0.8825,0.8176,0.02,39,1060,3.55,15.0,0,0.2609,,,average,,,,,
twitter,hierarchical_average,ClusterMajorityVote,0.3714,0.5257,0.4349,0.3566,1.0,0.5886,0.02,39,1060,3.55,15.0,0,0.2609,,,average,,,,,
twitter,hierarchical_average,KNN_k7,0.5666,0.5953,0.5755,0.4244,0.997,0.6901,0.02,39,1060,3.55,15.0,0,0.2609,,,average,,,,,
