row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
3824,friends_count,1,,,0.9502755584919508,0.9512103778324658,1,0,0.266991997398235,1.0,0.5,1.0,0,0,2638.0,0.9246407290571328,-1.0,2852.0,214.0,7.9561263512135,5.3706380281276624,1.0,1179.0,850.0,-1,-1.0
3847,friends_count,0,,,0.9484261507882511,0.9927940507873888,1,0,0.266991997398235,1.0,0.5,1.0,0,0,199.0,0.995,-1.0,199.0,0.0,5.298317366548036,0.0,1.0,754.0,0.0,-1,-1.0
3849,friends_count,1,,,0.9693486556978619,0.9763713103785365,1,0,0.266991997398235,1.0,0.5,1.0,0,0,2929.0,0.5473743225565315,-1.0,5350.0,2421.0,8.585038738311304,7.792348924113037,1.0,1906.0,985.0,-1,-1.0
3855,friends_count,1,,,0.9487026977345987,0.9902330532223685,2,1,0.266991997398235,1.0,0.5,1.0,0,0,108.0,0.7659574468085106,-1.0,140.0,32.0,4.948759890378168,3.4965075614664802,1.0,368.0,1297.0,1,1.0
3961,friends_count,1,,,0.9487026977345987,0.9916304795106313,2,1,0.266991997398235,1.0,0.5,1.0,0,0,1998.0,0.983751846381093,-1.0,2030.0,32.0,7.616283561580385,3.4965075614664802,1.0,784.0,1297.0,1,1.0
3979,friends_count,0,,,0.9484261507882511,0.968395869287713,3,1,0.266991997398235,1.0,0.5,1.0,0,0,89.0,0.9888888888888889,-1.0,89.0,0.0,4.499809670330265,0.0,1.0,2415.0,0.0,-1,-1.0
3981,friends_count,1,,,0.9487026977345987,0.9830846603429659,2,1,0.266991997398235,1.0,0.5,1.0,0,0,2051.0,0.9841650671785028,-1.0,2083.0,32.0,7.642044402873258,3.4965075614664802,1.0,817.0,1297.0,1,1.0
3994,friends_count,0,,,0.9484261507882511,0.9552745808927268,1,0,0.266991997398235,1.0,0.5,1.0,0,0,527.0,0.9981060606060606,-1.0,527.0,0.0,6.269096283706261,0.0,1.0,1889.0,0.0,-1,-1.0
4113,friends_count,0,,,0.9484261507882511,0.5002948780319321,1,0,0.266991997398235,1.0,0.5,1.0,0,0,309.0,0.9967741935483871,-1.0,309.0,0.0,5.736572297479192,0.0,1.0,1261.0,0.0,-1,-1.0
4124,friends_count,0,,,0.9484261507882511,0.9353388300560525,1,0,0.266991997398235,1.0,0.5,1.0,0,0,450.0,0.9977827050997783,-1.0,450.0,0.0,6.111467339502679,0.0,1.0,1672.0,0.0,-1,-1.0
4203,friends_count,0,,,0.9484261507882511,0.9498673967242652,1,0,0.266991997398235,1.0,0.5,1.0,0,0,1573.0,0.9993646759847522,-1.0,1573.0,0.0,7.3613754289773485,0.0,1.0,496.0,0.0,-1,
4269,friends_count,0,,,0.9484261507882511,0.9935438386956738,2,0,0.266991997398235,1.0,0.5,1.0,0,0,417.0,0.9976076555023924,-1.0,417.0,0.0,6.035481432524756,0.0,1.0,1580.0,0.0,-1,-1.0
4325,friends_count,0,,,0.701309857478364,0.6888380180617515,1,0,0.266991997398235,1.0,0.5,1.0,0,0,319.0,0.0078090575275397795,-1.0,40849.0,40530.0,10.617662100288149,10.609822392399646,1.0,1559.0,1551.0,-1,-1.0
4391,friends_count,0,,,0.9484261507882511,0.8554444172562302,1,0,0.266991997398235,1.0,0.5,1.0,0,0,346.0,0.9971181556195965,-1.0,346.0,0.0,5.849324779946859,0.0,1.0,1379.0,0.0,-1,-1.0
4514,friends_count,0,,,0.9484261507882511,0.7152366710345692,1,0,0.266991997398235,1.0,0.5,1.0,0,0,379.0,0.9973684210526316,-1.0,379.0,0.0,5.940171252720432,0.0,1.0,1481.0,0.0,-1,-1.0
4521,friends_count,1,,,0.9701955807210514,0.9529209935374672,1,0,0.266991997398235,1.0,0.5,1.0,0,0,2483.0,0.4963022186687987,-1.0,5002.0,2519.0,8.517793011488205,7.832014180505469,1.0,1832.0,1024.0,-1,-1.0
4550,friends_count,0,,,0.9484261507882511,0.9924295273437344,1,0,0.266991997398235,1.0,0.5,1.0,0,0,727.0,0.9986263736263736,-1.0,727.0,0.0,6.590301048196686,0.0,1.0,2194.0,0.0,-1,-1.0
4553,friends_count,1,,,0.9348623957609874,0.936752849161096,1,0,0.266991997398235,1.0,0.5,1.0,0,0,166.0,0.012141603276770042,-1.0,13671.0,13505.0,9.523105224795426,9.510889310134788,1.0,339.0,323.0,-1,-1.0
4585,friends_count,0,,,0.9484261507882511,0.9830473265052091,1,0,0.266991997398235,1.0,0.5,1.0,0,0,454.0,0.9978021978021978,-1.0,454.0,0.0,6.12029741895095,0.0,1.0,1685.0,0.0,-1,-1.0
4597,friends_count,0,,,0.9484261507882511,0.9878556136929865,1,0,0.266991997398235,1.0,0.5,1.0,0,0,40.0,0.975609756097561,-1.0,40.0,0.0,3.713572066704308,0.0,1.0,1535.0,0.0,-1,-1.0
