row_idx,col,y_true,y_pred,delta_score
262,PRE_UNIT,1,1,0.4649183132654571
263,PRE_UNIT,1,1,0.4649183132654713
265,PRE_UNIT,1,-1,0.0
265,ARANC_NAC,1,-1,0.0
275,ARANC_NAC,1,-1,0.0
277,PRE_UNIT,1,-1,-2.3341041061403303
282,ARANC_NAC,1,-1,0.0
287,ARANC_NAC,1,-1,0.0
293,PRE_UNIT,1,-1,-0.22655779051001446
296,PRE_UNIT,1,-1,-0.27866756700305473
297,ARANC_ALA,1,-1,0.0
298,PRE_UNIT,1,1,0.774980170041573
298,ARANC_ALA,1,-1,0.0
299,PRE_UNIT,1,-1,0.0
299,ARANC_ALA,1,-1,0.0
300,PRE_UNIT,1,-1,0.0
300,ARANC_ALA,1,-1,0.0
300,ARANC_NAC,1,-1,0.0
330,PRE_UNIT,1,-1,-0.5655477294387907
332,PRE_UNIT,1,-1,0.0
335,PRE_UNIT,1,1,1.0475125386952016
347,FOB,1,1,2.4016759956383
347,CIF,1,1,3.5243978154483386
357,PRE_UNIT,1,-1,0.0
366,PRE_UNIT,1,1,0.3670377309742747
398,ARANC_NAC,1,-1,0.0
408,PRE_UNIT,1,-1,0.0
408,ARANC_NAC,1,-1,0.0
409,PRE_UNIT,1,1,2.542884016583969
414,PRE_UNIT,1,1,0.1747459962828657
415,PRE_UNIT,1,-1,-0.028545795226023074
416,PRE_UNIT,1,-1,-0.028545795226023074
417,PRE_UNIT,1,-1,0.0
419,PRE_UNIT,1,1,0.10798863806408576
425,PRE_UNIT,1,1,2.50612464288281
426,PRE_UNIT,1,1,1.1266253248957696
430,PRE_UNIT,1,1,1.1815135902011775
433,PRE_UNIT,1,1,2.9812637429836286
434,PRE_UNIT,1,1,1.7982293458428558
438,PRE_UNIT,1,1,3.1242774335671584
439,PRE_UNIT,1,1,1.9794705975388638
441,ARANC_NAC,1,-1,0.0
447,FOB,1,-1,0.0
503,FOB,1,1,0.4307829160924257
504,PRE_UNIT,1,1,0.8577053544457272
505,PRE_UNIT,1,-1,-0.11802768397564023
526,PRE_UNIT,1,1,2.26515027177291
530,PRE_UNIT,1,1,1.7937377092401334
531,PRE_UNIT,1,1,0.46389796409707174
534,PRE_UNIT,1,1,0.22549190918880413
536,PRE_UNIT,1,1,0.5415356472513508
537,PRE_UNIT,1,-1,0.0
538,PRE_UNIT,1,-1,-0.1305220614338225
541,ARANC_NAC,1,-1,0.0
553,PRE_UNIT,1,-1,0.0
556,ARANC_ALA,1,-1,0.0
580,PRE_UNIT,1,-1,-1.1296361699513113
583,PRE_UNIT,1,1,2.6483419750093162
584,PRE_UNIT,1,1,0.9690690233932742
590,ARANC_NAC,1,-1,0.0
592,PRE_UNIT,1,-1,0.0
592,ARANC_NAC,1,-1,0.0
594,PRE_UNIT,1,-1,0.0
595,PRE_UNIT,1,-1,-1.4229284942996685
597,PRE_UNIT,1,1,0.5225216635291758
624,ARANC_NAC,1,-1,0.0
625,ARANC_NAC,1,-1,0.0
626,ARANC_NAC,1,-1,0.0
643,PRE_UNIT,1,1,1.630208359791311
664,ARANC_ALA,1,-1,0.0
665,ARANC_ALA,1,-1,0.0
668,ARANC_NAC,1,-1,0.0
669,PRE_UNIT,1,1,2.414328702068431
670,PRE_UNIT,1,1,2.0445816765623164
672,PRE_UNIT,1,1,0.5943803067982287
679,ARANC_ALA,1,-1,0.0
682,ARANC_ALA,1,-1,0.0
683,ARANC_ALA,1,-1,0.0
683,ARANC_NAC,1,-1,0.0
685,ARANC_ALA,1,-1,0.0
687,PRE_UNIT,1,-1,0.0
691,PRE_UNIT,1,-1,-2.6360953262729936
731,ARANC_ALA,1,-1,0.0
734,PRE_UNIT,1,-1,0.0
738,PRE_UNIT,1,1,2.1212223090443842
744,PRE_UNIT,1,1,2.7718716193047612
750,PRE_UNIT,1,1,3.5680436448135566
778,FOB,1,1,5.257032301864399
786,PRE_UNIT,1,-1,0.0
790,ARANC_NAC,1,-1,0.0
813,PRE_UNIT,1,1,1.2613850188321862
814,ARANC_NAC,1,-1,0.0
815,PRE_UNIT,1,-1,-0.35162435442970263
820,ARANC_NAC,1,-1,0.0
823,ARANC_NAC,1,-1,0.0
863,ARANC_NAC,1,-1,0.0
870,PRE_UNIT,1,1,1.3594213428688136
873,PRE_UNIT,1,1,0.3952782628011704
873,ARANC_NAC,1,-1,0.0
874,PRE_UNIT,1,1,0.4950049314511631
882,PRE_UNIT,1,-1,-1.9818525327477232
887,PRE_UNIT,1,1,2.0161002670187145
890,ARANC_ALA,1,-1,-0.340306807192178
900,PRE_UNIT,1,-1,0.0
901,PRE_UNIT,1,1,0.4331875777755272
906,ARANC_NAC,1,-1,0.0
908,ARANC_NAC,1,-1,0.0
914,ARANC_NAC,1,-1,0.0
916,FOB,1,1,6.688077935644429
916,CIF,1,1,6.5850094552614
916,PRE_UNIT,1,1,2.55702646379018
930,PRE_UNIT,1,-1,-0.3865373507071155
933,PRE_UNIT,1,1,0.7492366472109779
934,PRE_UNIT,1,1,0.8718389693033259
939,ARANC_NAC,1,-1,0.0
941,FOB,1,1,3.979359333190075
941,CIF,1,1,6.503539390274398
943,FOB,1,-1,0.0
943,CIF,1,-1,0.0
944,ARANC_NAC,1,-1,0.0
946,FOB,1,1,0.4765085308418975
954,ARANC_NAC,1,-1,0.0
964,FOB,1,1,3.2802844529968525
964,CIF,1,1,4.220907285530529
964,ARANC_NAC,1,-1,0.0
967,PRE_UNIT,1,-1,-1.796456518727922
972,PRE_UNIT,1,1,1.936243379173817
973,PRE_UNIT,1,1,2.0719458417635224
974,PRE_UNIT,1,1,2.0751218805353346
977,PRE_UNIT,1,1,0.8800307477130502
978,PRE_UNIT,1,1,1.9352661687954082
979,PRE_UNIT,1,1,0.7063461888352265
980,PRE_UNIT,1,1,2.782633386570865
981,PRE_UNIT,1,1,3.7568301160223996
982,PRE_UNIT,1,1,3.8162535364932353
988,PRE_UNIT,1,1,0.028024983648776924
989,PRE_UNIT,1,-1,-0.017274330071899158
995,PRE_UNIT,1,-1,0.0
1003,PRE_UNIT,1,1,3.7214072861799252
1004,PRE_UNIT,1,1,1.6161985015639857
1005,PRE_UNIT,1,1,2.2258736306949345
1006,PRE_UNIT,1,1,3.764067783322673
1007,PRE_UNIT,1,1,2.309826254250595
1008,PRE_UNIT,1,1,2.0637789811168545
1009,PRE_UNIT,1,1,3.126940226443992
1014,PRE_UNIT,1,-1,-0.5500314494314722
1019,PRE_UNIT,1,-1,-2.5870481457044434
1024,PRE_UNIT,1,1,0.8610327343977673
1024,ARANC_ALA,1,1,1.5175632210842878
1055,ARANC_NAC,1,-1,0.0
1060,PRE_UNIT,1,-1,0.0
1063,PRE_UNIT,1,1,2.39833224025125
1069,PRE_UNIT,1,-1,0.0
1073,PRE_UNIT,1,1,0.16449544787283799
1073,ARANC_ALA,1,1,0.3040352159327995
1077,PRE_UNIT,1,1,1.6395359435913974
1092,FOB,1,1,0.672093771362114
1149,PRE_UNIT,1,1,0.1854971707678459
1209,PRE_UNIT,1,-1,-0.08371104396098872
1210,PRE_UNIT,1,-1,0.0
1211,PRE_UNIT,1,1,0.08092144235223486
1212,PRE_UNIT,1,1,2.169110500801196
1227,ARANC_ALA,1,-1,0.0
1233,PRE_UNIT,1,1,2.2903364709178504
1234,PRE_UNIT,1,1,2.3540637270170066
1243,PRE_UNIT,1,1,2.2223595903854516
1243,ARANC_NAC,1,-1,0.0
1244,ARANC_NAC,1,-1,0.0
1245,PRE_UNIT,1,1,2.1923228623541604
1271,PRE_UNIT,1,1,2.5388714697474484
1273,PRE_UNIT,1,1,2.359472467396131
1274,PRE_UNIT,1,1,2.1173236734065313
1276,ARANC_ALA,1,1,1.1475118081878577
1277,ARANC_ALA,1,1,1.1475118081878577
1278,ARANC_ALA,1,1,1.1475118081878577
1279,ARANC_ALA,1,1,1.1475118081878577
1289,PRE_UNIT,1,-1,-0.08562568267370807
1290,PRE_UNIT,1,1,0.1598154733829915
1296,PRE_UNIT,1,-1,0.0
1300,PRE_UNIT,1,-1,-0.7574987450397828
1301,PRE_UNIT,1,1,0.1917025199454514
1303,PRE_UNIT,1,-1,-2.045780822639216
1304,PRE_UNIT,1,1,1.332221945786415
1305,PRE_UNIT,1,1,2.783131455549011
1307,PRE_UNIT,1,1,3.2559390398814685
1309,PRE_UNIT,1,1,1.8625117335348023
1310,PRE_UNIT,1,1,0.7981306546187739
1311,PRE_UNIT,1,-1,0.0
1311,ARANC_NAC,1,-1,0.0
1316,ARANC_ALA,1,1,1.7966138476928535
1320,PRE_UNIT,1,-1,-0.4909934841160464
1325,PRE_UNIT,1,1,0.982781488941157
1326,PRE_UNIT,1,1,0.982781488941157
1357,PRE_UNIT,1,1,3.2445594196028935
1358,PRE_UNIT,1,1,3.4515735889872303
1372,PRE_UNIT,1,1,2.2248257282948884
1373,PRE_UNIT,1,-1,-0.3109703169557747
1377,FOB,1,1,5.635625120288978
1379,ARANC_NAC,1,-1,0.0
1380,PRE_UNIT,1,1,1.2824960191809964
1383,PRE_UNIT,1,-1,-0.9155868782466712
1385,PRE_UNIT,1,-1,-0.9155868782466428
1411,PRE_UNIT,1,1,1.0593742818071377
