chunk_id,chunk_time_sec
489,1.9965224098414183
490,3.3619901333004236
491,14.807528329081833
492,1.3284877697005868
493,1.3233680604025722
494,1.5341174816712737
495,1.4300487479194999
496,1.516576555557549
497,1.7309036115184426
498,1.2480268282815814
499,1.328946702182293
500,1.2557889875024557
501,1.439108768478036
502,2.0035039857029915
503,1.3184836581349373
504,1.1600035354495049
505,1.4181807255372405
506,7.937443317845464
507,2.979347363114357
508,1.623862387612462
509,1.5353774009272456
510,22.147075889632106
511,1.6169246407225728
512,1.233082016929984
513,3.267878197133541
514,2.9751337161287665
515,2.773562519811094
516,2.930396880954504
517,2.228820492513478
518,2.900227839127183
519,2.6832952089607716
520,3.093622425571084
521,3.3610624205321074
522,2.875248672440648
523,2.4805969828739762
524,2.9776524985209107
525,2.7799267387017608
526,2.7730232384055853
527,2.9823495158925653
528,3.179010127671063
529,2.7999289762228727
530,1.5374997714534402
531,1.4409715328365564
532,1.136255757883191
533,1.5462083332240582
534,1.4363344786688685
535,1.6377879902720451
536,4.6382668428123
537,1.4351418679580092
538,1.4426254583522677
539,1.430542671121657
540,1.0452705463394523
541,1.5264253905043006
542,1.5322927944362164
543,1.228142167441547
544,1.6160612683743238
545,1.621526226401329
546,1.4592115739360452
547,1.3167010275647044
548,1.426831248216331
549,1.5813447646796703
550,1.3809959618374705
551,5.498102595098317
552,1.35219463147223
553,1.2509744260460138
554,1.5201018759980798
555,1.2400321401655674
556,1.3341473154723644
557,1.5554485386237502
558,1.3521788101643324
559,5.249073862098157
560,1.3282793816179037
561,1.539968729019165
562,1.5293697891756892
563,1.428861491382122
564,1.3213691031560302
565,1.4329247949644923
566,1.8138503124937415
567,1.6311086574569345
568,1.4399486873298883
569,1.3388832323253155
570,1.537185000255704
571,1.6141558336094022
572,1.2388250203803182
573,1.329904125072062
574,1.4177202498540282
575,1.32645458355546
576,1.4384953947737813
577,14.618380213156343
578,1.6029287120327353
579,1.3182725552469492
580,1.3485531006008387
581,1.301244119182229
582,1.5374466655775905
583,1.3743294160813093
584,1.5216299900785089
585,1.3276892909780145
586,1.6118726888671517
587,1.325345741584897
588,1.3295955257490277
589,1.4155498128384352
590,1.422936619259417
591,1.4317505387589335
592,1.3326977360993624
