row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,true_label
953,followers_count,0,,,0.9133001415744926,0.4814456421510428,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,201927.0,0.09401376728767671,-1.0,2147844.0,1945917.0,14.579975571858247,14.481244403121872,1.0,1100.0,966.0,0
987,followers_count,0,,,0.9509922096633139,0.9990608344922512,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3501.0,0.9997144488863506,-1.0,3501.0,0.0,8.161089512845797,0.0,1.0,1779.0,0.0,0
998,followers_count,0,,,0.9509922096633139,0.999273447641448,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4331.0,0.9997691597414589,-1.0,4331.0,0.0,8.37378460812088,0.0,1.0,2117.0,0.0,0
1009,followers_count,0,,,0.9509922096633139,0.9999976211711253,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,93.0,0.9893617021276596,-1.0,93.0,0.0,4.543294782270004,0.0,1.0,3226.0,0.0,0
1053,followers_count,0,,,0.0,0.0,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,196294.0,0.0022554280868438744,-1.0,87031814.0,86835520.0,18.281784299425865,18.27952632403019,1.0,3119.0,3114.0,0
1086,followers_count,0,,,0.9509922096633139,0.9997765138622393,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1310.0,0.9992372234935164,-1.0,1310.0,0.0,7.1785454837637,0.0,1.0,395.0,0.0,0
1129,followers_count,0,,,0.0,0.0,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,197073.0,0.004929815426037434,-1.0,39975735.0,39778662.0,17.503783228021994,17.498841220971077,1.0,1999.0,1988.0,0
1151,followers_count,0,,,0.9509922096633139,0.9999084634385041,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3673.0,0.9997278170930866,-1.0,3673.0,0.0,8.20903626577507,0.0,1.0,1865.0,0.0,0
1159,followers_count,0,,,0.9509922096633139,0.999976517284393,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,532.0,0.99812382739212,-1.0,532.0,0.0,6.278521424165844,0.0,1.0,2420.0,0.0,0
1168,followers_count,0,,,0.9509922096633139,0.999996081701382,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,177.0,0.9943820224719101,-1.0,177.0,0.0,5.181783550292085,0.0,1.0,829.0,0.0,0
1183,followers_count,0,,,0.9509922096633139,0.9999997988632496,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3.0,0.75,-1.0,3.0,0.0,1.3862943611198906,0.0,1.0,1543.0,0.0,0
1291,followers_count,0,,,0.9509922096633139,0.9997691220866628,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,316.0,0.9968454258675079,-1.0,316.0,0.0,5.75890177387728,0.0,1.0,1632.0,0.0,0
1294,followers_count,0,,,0.9509922096633139,0.9999608170138199,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,468.0,0.997867803837953,-1.0,468.0,0.0,6.150602768446279,0.0,1.0,2230.0,0.0,0
1297,followers_count,1,,,0.9509927675808356,0.9999997369750188,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,7.0,0.4375,-1.0,15.0,8.0,2.772588722239781,2.1972245773362196,1.0,590.0,2988.0,1
1421,followers_count,0,,,0.9509922096633139,0.99868550558001,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1308.0,0.9992360580595875,-1.0,1308.0,0.0,7.1770187659099,0.0,1.0,390.0,0.0,0
1441,followers_count,1,,,0.9572077595536383,0.9712114168263098,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,237156.0,0.7268436505844638,-1.0,326281.0,89125.0,12.695517317100279,11.397806377850005,1.0,1681.0,3169.0,0
1448,followers_count,1,,,0.9509927675808356,0.9999984914743721,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,10.0,0.5263157894736842,-1.0,18.0,8.0,2.9444389791664403,2.1972245773362196,1.0,855.0,2988.0,1
1461,followers_count,0,,,0.9509922096633139,0.9971604016422982,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,394.0,0.9974683544303797,-1.0,394.0,0.0,5.978885764901122,0.0,1.0,1979.0,0.0,0
1474,followers_count,0,,,0.9509922096633139,0.9999079838047148,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,542.0,0.998158379373849,-1.0,542.0,0.0,6.297109319933935,0.0,1.0,2446.0,0.0,0
1498,followers_count,0,,,0.9509922096633139,0.9993799108706308,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,507.0,0.9980314960629921,-1.0,507.0,0.0,6.230481447578482,0.0,1.0,2352.0,0.0,0
1500,followers_count,0,,,0.9509922096633139,0.9999902023194478,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,50.0,0.9803921568627451,-1.0,50.0,0.0,3.9318256327243257,0.0,1.0,2330.0,0.0,0
1536,followers_count,1,,,0.9509927675808356,0.9999992573412294,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,5.0,0.35714285714285715,-1.0,13.0,8.0,2.6390573296152584,2.1972245773362196,1.0,378.0,2988.0,1
1554,followers_count,0,,,0.9509922096633139,0.99992984969029,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1352.0,0.9992609016999261,-1.0,1352.0,0.0,7.210079628170788,0.0,1.0,445.0,0.0,0
1560,followers_count,0,,,0.9509922096633139,0.9995951310615537,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,715.0,0.9986033519553073,-1.0,715.0,0.0,6.573680166960646,0.0,1.0,2831.0,0.0,0
1587,followers_count,0,,,0.9509922096633139,0.9999007003335423,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,256.0,0.9961089494163424,-1.0,256.0,0.0,5.54907608489522,0.0,1.0,1324.0,0.0,0
1635,followers_count,0,,,0.9509922096633139,0.9998531469641347,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1275.0,0.9992163009404389,-1.0,1275.0,0.0,7.151485463904735,0.0,1.0,357.0,0.0,0
1696,followers_count,1,,,0.9558682693236977,0.9893735586758899,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,238936.0,0.7736186883812792,-1.0,308854.0,69918.0,12.640627190081558,11.155092708167645,1.0,1596.0,2797.0,0
1720,followers_count,0,,,0.9509922096633139,0.9990943005531032,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,840.0,0.9988109393579072,-1.0,840.0,0.0,6.734591659972948,0.0,1.0,3066.0,0.0,0
1723,followers_count,0,,,0.9509922096633139,0.9998630065329179,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,277.0,0.9964028776978417,-1.0,277.0,0.0,5.627621113690637,0.0,1.0,1444.0,0.0,0
1799,followers_count,0,,,0.9509922096633139,0.9999906858212515,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,96.0,0.9896907216494846,-1.0,96.0,0.0,4.574710978503383,0.0,1.0,3271.0,0.0,0
1808,followers_count,0,,,0.9509922096633139,0.9981979539650991,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4894.0,0.9997957099080694,-1.0,4894.0,0.0,8.49596955496461,0.0,1.0,2292.0,0.0,0
1813,followers_count,0,,,0.9509922096633139,0.9999959656609491,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,74.0,0.9866666666666667,-1.0,74.0,0.0,4.31748811353631,0.0,1.0,2885.0,0.0,0
1889,followers_count,0,,,0.9509922096633139,0.9999336828925904,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,798.0,0.9987484355444305,-1.0,798.0,0.0,6.683360945766275,0.0,1.0,2981.0,0.0,0
1921,followers_count,0,,,0.9509922096633139,0.9999831664011988,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,723.0,0.9986187845303868,-1.0,723.0,0.0,6.584791392385716,0.0,1.0,2848.0,0.0,0
1931,followers_count,0,,,0.9509922096633139,0.9919502094126119,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,6221.0,0.9998392799742848,-1.0,6221.0,0.0,8.735846677457582,0.0,1.0,2628.0,0.0,0
1976,followers_count,0,,,0.9509922096633139,0.9999194602035298,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,268.0,0.9962825278810409,-1.0,268.0,0.0,5.594711379601839,0.0,1.0,1384.0,0.0,0
1981,followers_count,0,,,0.9509922096633139,0.9943635332400094,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,48740.0,0.9999794833918056,-1.0,48740.0,0.0,10.79427584399786,0.0,1.0,2284.0,0.0,0
2015,followers_count,0,,,0.9509922096633139,0.9912819016153531,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2067.0,0.9995164410058027,-1.0,2067.0,0.0,7.63433723562832,0.0,1.0,1054.0,0.0,0
2029,followers_count,1,,,0.9529833475586144,0.9654917452079065,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,239360.0,0.8934276926752068,-1.0,267911.0,28551.0,12.498413847362677,10.259482265169996,1.0,1383.0,1480.0,0
